Nr,Date,Time,f [Hz],Signal,Noise
87,2023-06-09,17:02:34.954,-1.0,0,5911.324993834438
87,2023-06-09,17:02:34.961,1007.3046245172812,94716.96912323711,4474.9747205358435
88,2023-06-09,17:02:58.783,1006.4379978987446,125305.15106665963,3799.4933126076226
88,2023-06-09,17:02:58.799,1009.549556829306,91493.939575434,4806.744302252131
88,2023-06-09,17:02:58.814,1009.4890960166254,87032.72219950114,4012.908927716706
88,2023-06-09,17:02:58.829,-1.0,0,2614.6876585471887
88,2023-06-09,17:02:58.836,1009.6977175833049,152476.32224300038,4642.337206001501
88,2023-06-09,17:02:58.844,1006.4681603966093,61471.23255601573,3275.993082677256
89,2023-06-09,17:03:40.574,-1.0,0,3050.235971594218
89,2023-06-09,17:03:40.581,939.9009382213794,96859.68869648536,4362.268147741617
89,2023-06-09,17:03:40.589,977.3376090512076,259700.57578941446,4526.775205309493
89,2023-06-09,17:03:40.604,992.1864525835339,801496.6705955113,4251.967579936745
89,2023-06-09,17:03:40.619,1011.4008763816595,2502809.36137477,4226.486258800027
89,2023-06-09,17:03:40.634,1018.6094766595694,2862828.8426489295,8110.5952751001005
89,2023-06-09,17:03:40.649,1015.5367920316891,2200297.8561434355,4630.992134713285
89,2023-06-09,17:03:40.656,1011.0913365412861,1322971.8497792867,4231.236330767157
89,2023-06-09,17:03:40.663,1012.3811704560776,764398.4136071162,4102.724561767302
89,2023-06-09,17:03:40.671,1010.8663847385016,443815.7532890831,4796.229802368498
89,2023-06-09,17:03:40.678,1008.6783799657018,181733.92468923877,4535.1717707706475
89,2023-06-09,17:03:40.686,1009.1904746669923,90044.95947417979,3590.7309386301713
89,2023-06-09,17:03:40.693,-1.0,0,2801.9743806169904
89,2023-06-09,17:03:40.701,1005.3821661599205,97147.7008306026,5239.779171786362
90,2023-06-09,17:05:34.867,955.8941001399123,64794.32655163927,4165.177351473428
90,2023-06-09,17:05:34.874,960.937523179811,34005.95624670747,2590.6473821401614
90,2023-06-09,17:05:34.882,911.9151449479356,59851.55739478466,4293.589550660284
90,2023-06-09,17:05:34.889,-1.0,0,2816.962231615901
90,2023-06-09,17:05:34.901,1078.1249689347762,29383.942439037815,5179.929546851425
90,2023-06-09,17:05:34.914,982.6821950178318,53850.97139469156,4682.567992939893
91,2023-06-09,17:06:16.084,-1.0,0,5596.338391761896
91,2023-06-09,17:06:16.099,1006.3300470092327,75718.57901490825,3922.340891707208
91,2023-06-09,17:06:16.113,1007.5437852141579,72886.11455001407,2908.8897579617324
91,2023-06-09,17:06:16.128,1025.2234121180811,191424.64959546225,3174.322805171447
91,2023-06-09,17:06:16.136,1018.8792614102756,266477.3361332611,2496.6799369437454
91,2023-06-09,17:06:16.144,1012.1122916957273,248183.94483326178,5889.9011369547425
91,2023-06-09,17:06:16.152,1010.941583954131,95601.73547452611,2794.229254743048
91,2023-06-09,17:06:16.159,-1.0,0,4307.703418249439
92,2023-06-09,17:06:54.883,-1.0,0,3291.371842825859
